ref	test	stat
Class_I	Class_I|LTR|Ty1/copia	FP
Class_I|LINE	Class_I|LTR|Ty1/copia	FP
Class_I|LTR	Class_I|LTR|Ty1/copia	FP
Class_I|LTR|Ty1/copia	Class_I|LTR|Ty1/copia	TP
Class_I|LTR|Ty3/gypsy	Class_I|LTR|Ty1/copia	FP
Class_I|SINE	Class_I|LTR|Ty1/copia	FP
Class_II	Class_I|LTR|Ty1/copia	FP
no_annotation	Class_I|LTR|Ty1/copia	FP
Other	Class_I|LTR|Ty1/copia	FP
Unknown	Class_I|LTR|Ty1/copia	FP
Class_I	Class_I|LTR|Ty3/gypsy	FP
Class_I|LINE	Class_I|LTR|Ty3/gypsy	FP
Class_I|LTR	Class_I|LTR|Ty3/gypsy	FP
Class_I|LTR|Ty1/copia	Class_I|LTR|Ty3/gypsy	FP
Class_I|LTR|Ty3/gypsy	Class_I|LTR|Ty3/gypsy	TP
Class_I|SINE	Class_I|LTR|Ty3/gypsy	FP
Class_II	Class_I|LTR|Ty3/gypsy	FP
no_annotation	Class_I|LTR|Ty3/gypsy	FP
Other	Class_I|LTR|Ty3/gypsy	FP
Unknown	Class_I|LTR|Ty3/gypsy	FP
Class_I	no_annotation	TN
Class_I|LINE	no_annotation	TN
Class_I|LTR	no_annotation	FN
Class_I|LTR|Ty1/copia	no_annotation	FN
Class_I|LTR|Ty3/gypsy	no_annotation	FN
Class_I|SINE	no_annotation	TN
Class_II	no_annotation	TN
no_annotation	no_annotation	TN
Other	no_annotation	TN
Unknown	no_annotation	TN
Class_I|LINE	Class_I|LTR	FP
Class_I|LTR	Class_I|LTR	TP
Class_I|LTR|Ty1/copia	Class_I|LTR	FN
Class_I|LTR|Ty3/gypsy	Class_I|LTR	FN
Class_I|SINE	Class_I|LTR	FP
Class_II	Class_I|LTR	FP
Evirus	Class_I|LTR	FP
no_annotation	Class_I|LTR	FP
Uknown	Class_I|LTR	FP
Evirus	no_annotation	TN
Uknown	Class_I|LTR|Ty1/copia	FP
Uknown	Class_I|LTR|Ty3/gypsy	FP
Satellite	no_annotation	TN
Uknown	no_annotation	TN
Evirus	Class_I|LTR|Ty1/copia	FP
Satellite	Class_I|LTR|Ty3/gypsy	FP
Satellite	Class_I|LTR|Ty1/copia	FP
Evirus	Class_I|LTR|Ty3/gypsy	FP
Class_I	Class_I|LTR	FP
Other	Class_I|LTR	FP
Unknown	Class_I|LTR	FP
Class_I|LINE	Unknown	TN
Class_I|LTR	Unknown	FN
Class_I|LTR|Ty1/copia	Unknown	FN
Class_I|LTR|Ty3/gypsy	Unknown	FN
Class_I|SINE	Unknown	TN
Class_II	Unknown	TN
Evirus	Unknown	TN
no_annotation	Unknown	TN
Satellite	Unknown	TN
Uknown	Unknown	TN
Satellite	Class_I|LTR	FP
Class_I|LINE	LTR	FP
Class_I|LTR	LTR	TP
Class_I|LTR|Ty1/copia	LTR	FN
Class_I|LTR|Ty3/gypsy	LTR	FN
Class_I|SINE	LTR	FP
Class_II	LTR	FP
Evirus	LTR	FP
no_annotation	LTR	FP
Satellite	LTR	FP
Uknown	LTR	FP
Class_I	LTR	FP
Other	LTR	FP
Unknown	LTR	FP
Class_I	LTR|Copia	FP
Class_I|LINE	LTR|Copia	FP
Class_I|LTR	LTR|Copia	FP
Class_I|LTR|Ty1/copia	LTR|Copia	TP
Class_I|LTR|Ty3/gypsy	LTR|Copia	FP
Class_I|SINE	LTR|Copia	FP
Class_II	LTR|Copia	FP
no_annotation	LTR|Copia	FP
Other	LTR|Copia	FP
Unknown	LTR|Copia	FP
Class_I	LTR|Gypsy	FP
Class_I|LINE	LTR|Gypsy	FP
Class_I|LTR	LTR|Gypsy	FP
Class_I|LTR|Ty1/copia	LTR|Gypsy	FP
Class_I|LTR|Ty3/gypsy	LTR|Gypsy	TP
Class_I|SINE	LTR|Gypsy	FP
Class_II	LTR|Gypsy	FP
no_annotation	LTR|Gypsy	FP
Other	LTR|Gypsy	FP
Unknown	LTR|Gypsy	FP
Class_I	LTR/Copia	FP
Class_I|LINE	LTR/Copia	FP
Class_I|LTR	LTR/Copia	FP
Class_I|LTR|Ty1/copia	LTR/Copia	TP
Class_I|LTR|Ty3/gypsy	LTR/Copia	FP
Class_I|SINE	LTR/Copia	FP
Class_II	LTR/Copia	FP
no_annotation	LTR/Copia	FP
Other	LTR/Copia	FP
Unknown	LTR/Copia	FP
Class_I	LTR/Gypsy	FP
Class_I|LINE	LTR/Gypsy	FP
Class_I|LTR	LTR/Gypsy	FP
Class_I|LTR|Ty1/copia	LTR/Gypsy	FP
Class_I|LTR|Ty3/gypsy	LTR/Gypsy	TP
Class_I|SINE	LTR/Gypsy	FP
Class_II	LTR/Gypsy	FP
no_annotation	LTR/Gypsy	FP
Other	LTR/Gypsy	FP
Unknown	LTR/Gypsy	FP
